Date,USDATA.Cases,USDATA.Deaths
2020-01-22,,
2020-01-23,0.0,
2020-01-24,1.0,
2020-01-25,0.0,
2020-01-26,3.0,
2020-01-27,0.0,
2020-01-28,0.0,
2020-01-29,1.0,
2020-01-30,0.0,
2020-01-31,2.0,
2020-02-01,0.0,
2020-02-02,0.0,
2020-02-03,3.0,
2020-02-04,0.0,
2020-02-05,0.0,
2020-02-06,1.0,
2020-02-07,0.0,
2020-02-08,0.0,
2020-02-09,0.0,
2020-02-10,0.0,
2020-02-11,1.0,
2020-02-12,0.0,
2020-02-13,1.0,
2020-02-14,0.0,
2020-02-15,0.0,
2020-02-16,0.0,
2020-02-17,0.0,
2020-02-18,0.0,
2020-02-19,0.0,
2020-02-20,0.0,
2020-02-21,2.0,
2020-02-22,0.0,
2020-02-23,0.0,
2020-02-24,0.0,
2020-02-25,0.0,
2020-02-26,0.0,
2020-02-27,1.0,
2020-02-28,0.0,
2020-02-29,8.0,1.0
2020-03-01,7.0,1.0
2020-03-02,23.0,6.0
2020-03-03,19.0,7.0
2020-03-04,33.0,11.0
2020-03-05,77.0,12.0
2020-03-06,53.0,14.0
2020-03-07,166.0,17.0
2020-03-08,116.0,21.0
2020-03-09,75.0,22.0
2020-03-10,188.0,28.0
2020-03-11,365.0,33.0
2020-03-12,439.0,43.0
2020-03-13,633.0,51.0
2020-03-14,759.0,58.0
2020-03-15,234.0,70.0
2020-03-16,1467.0,97.0
2020-03-17,1833.0,132.0
2020-03-18,2657.0,191.0
2020-03-19,4494.0,264.0
2020-03-20,6367.0,365.0
2020-03-21,5995.0,464.0
2020-03-22,8830.0,574.0
2020-03-23,11231.0,762.0
2020-03-24,10612.0,1003.0
2020-03-25,12075.0,1329.0
2020-03-26,17840.0,1741.0
2020-03-27,18680.0,2259.0
2020-03-28,19607.0,2892.0
2020-03-29,18879.0,3484.0
2020-03-30,22082.0,4180.0
2020-03-31,26316.0,5272.0
2020-04-01,25883.0,6452.0
2020-04-02,30387.0,7955.0
2020-04-03,31970.0,9348.0
2020-04-04,33015.0,10889.0
2020-04-05,28197.0,12457.0
2020-04-06,30173.0,14233.0
2020-04-07,31410.0,16803.0
2020-04-08,32195.0,18957.0
2020-04-09,34582.0,21176.0
2020-04-10,33485.0,23403.0
2020-04-11,29308.0,25527.0
2020-04-12,26927.0,27342.0
2020-04-13,25809.0,29280.0
2020-04-14,28564.0,31734.0
2020-04-15,30165.0,34337.0
2020-04-16,31401.0,36506.0
2020-04-17,32669.0,38599.0
2020-04-18,27927.0,40568.0
2020-04-19,25689.0,42499.0
2020-04-20,28420.0,44679.0
2020-04-21,26060.0,47221.0
2020-04-22,29314.0,49659.0
2020-04-23,33184.0,52125.0
2020-04-24,33751.0,54285.0
2020-04-25,31572.0,55988.0
2020-04-26,26844.0,57322.0
2020-04-27,23187.0,58787.0
2020-04-28,24661.0,61028.0
2020-04-29,27811.0,63555.0
2020-04-30,29487.0,65971.0
2020-05-01,34240.0,67848.0
2020-05-02,27764.0,69535.0
2020-05-03,24457.0,70638.0
2020-05-04,23382.0,71956.0
2020-05-05,24510.0,74255.0
2020-05-06,25089.0,76599.0
2020-05-07,27736.0,78523.0
2020-05-08,26749.0,80275.0
2020-05-09,24948.0,81817.0
2020-05-10,18871.0,82717.0
2020-05-11,19427.0,83719.0
2020-05-12,22725.0,85333.0
2020-05-13,20963.0,87082.0
2020-05-14,27158.0,88856.0
2020-05-15,25255.0,90520.0
2020-05-16,24016.0,91792.0
2020-05-17,18315.0,92547.0
2020-05-18,21987.0,93714.0
2020-05-19,21055.0,95240.0
2020-05-20,23062.0,96758.0
2020-05-21,25865.0,97969.0
2020-05-22,23311.0,99214.0
2020-05-23,21103.0,100348.0
2020-05-24,19946.0,100964.0
2020-05-25,18347.0,101521.0
2020-05-26,19451.0,102185.0
2020-05-27,18533.0,103693.0
2020-05-28,22868.0,104876.0
2020-05-29,24255.0,106031.0
2020-05-30,23816.0,106985.0
2020-05-31,19037.0,107674.0
2020-06-01,16928.0,108451.0
2020-06-02,21389.0,109500.0
2020-06-03,20006.0,110494.0
2020-06-04,21368.0,111499.0
2020-06-05,25349.0,112405.0
2020-06-06,21405.0,113102.0
2020-06-07,17662.0,113543.0
2020-06-08,17492.0,114040.0
2020-06-09,18361.0,114970.0
2020-06-10,20951.0,115869.0
2020-06-11,23042.0,116723.0
2020-06-12,24914.0,117543.0
2020-06-13,25268.0,118316.0
2020-06-14,19019.0,118629.0
2020-06-15,19456.0,119012.0
2020-06-16,23693.0,119833.0
2020-06-17,26499.0,120564.0
2020-06-18,27867.0,121272.0
2020-06-19,30981.0,121934.0
2020-06-20,31917.0,122540.0
2020-06-21,25968.0,122833.0
2020-06-22,30676.0,123217.0
2020-06-23,36208.0,124059.0
2020-06-24,34426.0,124815.0
2020-06-25,40356.0,125360.0
2020-06-26,45353.0,125981.0
2020-06-27,41359.0,126483.0
2020-06-28,40409.0,126761.0
2020-06-29,40057.0,127139.0
2020-06-30,45980.0,127787.0
2020-07-01,51488.0,128479.0
2020-07-02,55588.0,129199.0
2020-07-03,51841.0,129858.0
2020-07-04,45549.0,130127.0
2020-07-05,49580.0,130416.0
2020-07-06,44162.0,130777.0
2020-07-07,60755.0,131984.0
2020-07-08,59740.0,132847.0
2020-07-09,62567.0,133845.0
2020-07-10,67859.0,134666.0
2020-07-11,60038.0,135359.0
2020-07-12,59085.0,135820.0
2020-07-13,58793.0,136188.0
2020-07-14,67427.0,137108.0
2020-07-15,67635.0,138080.0
2020-07-16,77102.0,139030.0
2020-07-17,71672.0,139963.0
2020-07-18,62470.0,140825.0
2020-07-19,60716.0,141278.0
2020-07-20,61477.0,141802.0
2020-07-21,64239.0,142903.0
2020-07-22,71915.0,144123.0
2020-07-23,68511.0,145215.0
2020-07-24,73208.0,146345.0
2020-07-25,65375.0,147233.0
2020-07-26,54864.0,147716.0
2020-07-27,55947.0,148835.0
2020-07-28,65785.0,150204.0
